"Do Not Place","Exclude from BOM","Exclude from Board","Exclude from Simulation","MPN","Qty"
"","","","","ASAA821-EASB0-7H","1"
"DNP","","Excluded from board","","","50"
"","","","","BS-12-B3AA003","1"
"","","","","C1005X7R1H104K050BE","104"
"","","","","GRM188R61E106KA73D","16"
"","","","","A768KS337M1ELAE019","1"
"","","","","GRM21BR61E226ME44L","10"
"","","","","  C0402C103K5RACTU","12"
"","","","","C0402C103K5RACTU","2"
"","","","","GRM155C81E105KE11D","3"
"","","","","C1005X5R1A104K050BA","1"
"","","","","GRM32ER71A476ME15L","8"
"","","","","GCM155R71C224KE02D","12"
"","","","","C0402C470J5GACTU","7"
"","","","","0402ZG105ZAT2A","2"
"","","","","CC0402JRNPO9BN120","2"
"","","","","GRM21BR61H475KE51L","13"
"","","","","AC0402CRNPO9BN9R0","2"
"","","","","A765EB157M1ALAE022","1"
"","","","","GCM1555C1H102JA16J","1"
"","","","","490-GRM155R61H105KE05DCT-ND","2"
"","","","","GRM155R61H105KE05D","2"
"","","","","490-GRM155R61H334KE01JCT-ND","4"
"","","","","RCLAMP0524PATCT","3"
"","","","","0402ESDA-05N","5"
"","","","","150060BS75000","2"
"","","","","NCD0603G1","2"
"","","","","NCD0603W1","2"
"","","","","ORH-B36G","3"
"","","","","NCD0603O1","1"
"","","","","NCD0603R1","1"
"","","","","BAT54AW-7-F","1"
"DNP","","","","ESD5Z5.0T1G","3"
"","","","","OSK40603C1E","2"
"","","","","SP3012-06UTG","2"
"","","","","CDSOD323-T36S","1"
"","","","","BAT54CW-7-F","1"
"","","","","1N5819WS ","1"
"","","","","ESD5V0B03","8"
"","","","","   BSMD0805L-200 ","1"
"","","","","BSMD0805-100-6V","1"
"","","","","C7472508","1"
"","","","","MCS0402HZ0000ZE100","12"
"","","","","BLM15PX601SZ1D","1"
"","","","","APCI0108-P001A","3"
"","","","","0483930003","1"
"","","","","RB1-125B8G1A","1"
"","","","","APCI0107-P001A","1"
"","","","","22-05-3021","1"
"","","","","FTS-122-01-L-DV","1"
"","","","","87834-2019","1"
"","","","","  0467651001","1"
"","","","","12401610E4#2ACT-ND","1"
"","","","","XAL7070-551MEB","1"
"","","","","553-BMRA000606306R8MA1CT-ND","1"
"","","","","2N7002","2"
"","","","","2SK3018","3"
"","","","","RCS0402100KFKED","13"
"","","","","RCS04021K00JNED","8"
"","","","","CRCW0402200KFKED","1"
"","","","","CRCW040210R0FKED","1"
"","","Excluded from board","","RCS040210K0FKED","19"
"","","","","RCS04022K00FKED","2"
"","","","","  RC0402JR-070RL","1"
"","","","","  PNM0402E5000BST1","1"
"","","","","RK73H1JLTD2491F","1"
"","","","","CC0402KRX7R9BB104","1"
"","","","","ERJ-2RKF4700X","11"
"","","","","RCS04022K20FKED","18"
"","","","","RC0402FR-075K1L","2"
"","","","","RC0402FR-13100RL","2"
"","","","","RC0402FR-1347RL","4"
"","","","","RC0402FR-1320KL","1"
"","","","","RC0402FR-074R7L","2"
"","","","","KDV06FR330ET","1"
"","","","","KDV06FR150ET","1"
"","","","","RC0402FR-1349K9L","1"
"","","","","RC0402FR-1359KL","1"
"","","","","RC0402FR-1324K3L","1"
"","","","","ERA-2AEB473X","1"
"","","","","ESR01MZPF3903 ","1"
"","","","","ERJ-2RKF51R0X","2"
"","","","","ERJ-2RKF5101X","1"
"","","","","TNPW040248K7BEED","1"
"","","","","560112110033","1"
"","","","","RCG040221K5FKED ","1"
"","","","","CRCW040219K1FKED","2"
"","","","","YC124-JR-1333RL","4"
"","","","","YC124-JR-0710KL","2"
"","","","","TC-1109DE-B-F","1"
"","","",""," 450-1644-ND","2"
"","","","","ADV7623BSTZ","1"
"","","","","TPPM0110DWPR","1"
"","","","","TPS548A23VANR","1"
"","","","","ULC0524P","6"
"","","","","RTL8111H-CG-RH","1"
"","","","","TPD3S014DBVR","1"
"","","","","CY7C68013A-56LTXC","1"
"","","","","CAT24M01YI−GT3","1"
"","","","","BL24C256A-SFRC","1"
"","","","","ICE40HX8K-BG121","1"
"","","","","APX811-40UG-7","1"
"","","","","TLV75533PDRVR","1"
"","","","","TLV73312PQDRVRQ1","1"
"","","","","SN74LVC1T45DCKR","9"
"","","","","PCA6408APW","1"
"","","","","TPS73101DBVR","1"
"","","","","DAC081C081CIMK/NOPB","1"
"","","","","INA233AIDGSR","1"
"","","","","TPAZ1023-04F","2"
"","","","","AP63200WU","1"
"","","","","LM73100RPWR","1"
"","","","","AT25DN512C-MAHF-T","1"
"","","","","TPS65988DHRSHR","1"
"","","","","C9900024673","1"
"","","","","JF4024M00009T8188070","1"
"","","","","ABM8G-28.63636MHZ-18-D2Y-T","1"
